RESPNO,FormalPP,InformalPP,TrustPresident,TrustParliament,TrustJudiciary,Age,InterestPublicAffairs,DiscussPolitics,Education
SRL0533,0,3,3,2,0,35,3,1,0
SRL0534,0,3,0,0,1,38,2,1,4
SRL0535,0,4,3,2,2,75,0,0,0
SRL0536,0,4,3,2,2,33,0,0,1
SRL0537,1,3,3,1,0,45,3,2,0
SRL0538,0,3,0,0,0,39,3,0,2
SRL0539,1,3,3,2,0,31,3,2,0
SRL0540,1,3,3,1,1,40,3,0,3
SRL0541,0,4,3,2,2,43,0,0,1
SRL0542,0,4,2,2,2,55,0,0,2
SRL0543,0,1,2,1,1,19,0,1,3
SRL0544,1,1,3,2,2,24,2,1,0
SRL0545,1,3,3,1,1,44,3,2,3
SRL0546,0,1,0,0,2,19,2,1,0
SRL0547,1,3,3,3,3,25,3,1,4
SRL0548,0,3,3,2,3,85,3,0,0
SRL0549,1,4,3,2,2,42,0,0,0
SRL0550,1,4,1,1,2,50,2,1,2
SRL0551,0,3,1,0,3,38,3,2,6
SRL0552,1,3,0,0,1,25,0,0,0
SRL0553,1,3,3,2,1,20,2,2,5
SRL0554,0,2,0,0,0,48,0,2,5
SRL0555,0,3,3,1,2,43,0,2,1
SRL0556,1,3,3,0,3,54,3,1,3
SRL0557,0,1,2,2,0,35,0,0,0
SRL0558,0,3,1,1,3,44,3,2,1
SRL0559,0,2,3,2,2,60,2,1,0
SRL0560,0,3,3,2,2,40,1,0,7
SRL0561,1,1,2,2,2,26,2,1,0
SRL0562,1,3,2,1,1,38,2,1,0
SRL0563, , ,0,0,0,37,1,1,3
SRL0564, , ,0,0, ,20,0, ,2
SRL0565,0,2,2,2,2,47,0,0,0
SRL0566,0,1,3,2,2,50,0,0,1
SRL0567,0, ,0,0,0,75,0,0,0
SRL0568,1,3,1,1,2,29,0,2,9
SRL0569,1,1,2,1,3,27,2,0,0
SRL0570,1,3,3,2,1,32,2,1,0
SRL0571,0,3,3,1,1,51,3,0,2
SRL0572,0,3,3,0,3,35,3,2,2
SRL0573,0,3,3,1,1,25,2,1,2
SRL0574,1,2,3,2,3,31,3,1,0
SRL0575,0,4,3,1,3,60,0,0,0
SRL0576,0,3,3,3,3,72,2,1,3
SRL0577,1,3,0,0,0,29,3,2,5
SRL0578,1,2,1,2,1,31,2,1,5
